net,length_um
net16,110.36µm
net15,95.02µm
_075_,88.2µm
net18,76.42µm
clknet_2_1__leaf_clk,69.36µm
net14,64.94µm
clknet_2_2__leaf_clk,63.05µm
clknet_0_clk,63µm
clknet_2_3__leaf_clk,62.75µm
net13,59.13µm
net17,58.68µm
_083_,58.5µm
_093_,50.92µm
clknet_2_0__leaf_clk,49.04µm
baud_inst.cnt\[8\],48.72µm
baud_inst.cnt\[9\],45.49µm
uart_tx_inst.state\[1\],44.88µm
clk,40.57µm
baud_inst.cnt\[10\],34.1µm
_107_,31.06µm
uart_tx_inst.data_reg\[6\],30.52µm
uart_tx_inst.state\[0\],29.585µm
baud_inst.baud_tick,28.08µm
net32,26.46µm
baud_inst.cnt\[7\],25.44µm
_086_,24.76µm
baud_inst.cnt\[4\],23.74µm
uart_tx_inst.cnt\[0\],23.64µm
_089_,23.28µm
uart_tx_inst.cnt\[2\],23.1µm
_062_,23µm
baud_inst.cnt\[6\],22.74µm
baud_inst.cnt\[3\],22.66µm
_078_,22.54µm
_098_,22.48µm
_082_,21.52µm
baud_inst.cnt\[11\],20.36µm
baud_inst.cnt\[12\],20.265µm
uart_tx_inst.data_reg\[7\],19.12µm
uart_tx_inst.cnt\[1\],18.74µm
baud_inst.cnt\[5\],18.42µm
baud_inst.cnt\[0\],18.2µm
baud_inst.cnt\[2\],18.2µm
_079_,18.06µm
uart_tx_inst.data_reg\[2\],18µm
net2,17.98µm
net9,17.16µm
net22,16.26µm
busy,16.18µm
_049_,15.94µm
_068_,15.85µm
_080_,14.8µm
uart_tx_inst.data_reg\[0\],14.78µm
uart_tx_inst.data_reg\[1\],14.54µm
uart_tx_inst.data_reg\[5\],14.46µm
_071_,14.38µm
_087_,14.34µm
data_in[2],13.74µm
_073_,13.36µm
en,13.28µm
_040_,13.27µm
_091_,13.12µm
_097_,12.525µm
_103_,12.5µm
_096_,12.34µm
_066_,12.28µm
_035_,12.21µm
uart_tx_inst.state\[2\],11.74µm
net10,11.74µm
_014_,11.665µm
_003_,11.58µm
data_in[3],11.44µm
uart_tx_inst.data_reg\[4\],11.42µm
net26,11.36µm
baud_inst.cnt\[1\],11.24µm
net11,11.14µm
_104_,11.12µm
net25,11.1µm
net35,10.74µm
_063_,10.62µm
uart_tx_inst.state\[3\],10.32µm
net21,10.3µm
_051_,10.28µm
_072_,10.16µm
_099_,10.14µm
net6,10.02µm
_059_,9.94µm
net31,9.94µm
_001_,9.7µm
_094_,9.62µm
_011_,9.36µm
data_in[6],9.25µm
_060_,8.96µm
_007_,8.74µm
_028_,8.67µm
uart_tx_inst.data_reg\[3\],8.58µm
_015_,8.56µm
_000_,8.52µm
_076_,8.44µm
net7,8.34µm
_090_,7.74µm
data_in[5],7.55µm
data_in[7],7.55µm
_041_,7.51µm
_061_,7.44µm
_013_,7.38µm
_052_,7.34µm
net8,7.32µm
_070_,7.26µm
_053_,7.18µm
_084_,7.14µm
net5,6.98µm
_030_,6.77µm
_055_,6.76µm
_067_,6.74µm
net28,6.42µm
_043_,6.11µm
_100_,6.1µm
_002_,5.92µm
_077_,5.86µm
_085_,5.84µm
_023_,5.82µm
_109_,5.8µm
net27,5.8µm
data_in[0],5.53µm
data_in[4],5.51µm
_036_,5.45µm
_054_,5.38µm
_106_,5.34µm
_018_,5.33µm
_012_,5.26µm
_108_,5.22µm
_020_,5.14µm
_009_,5.04µm
_058_,5.04µm
_019_,5.02µm
_034_,4.97µm
_033_,4.93µm
_017_,4.92µm
_027_,4.87µm
_069_,4.68µm
net12,4.65µm
_045_,4.61µm
rst,4.61µm
tx,4.39µm
net20,4.2µm
_016_,4.08µm
_048_,3.93µm
net19,3.9µm
_037_,3.69µm
data_in[1],3.47µm
_004_,3.42µm
net37,3.42µm
net3,3.3µm
net1,3.22µm
net30,3.22µm
_005_,3.2µm
_056_,3.2µm
_057_,3.2µm
_026_,3.15µm
_105_,3.08µm
_074_,2.96µm
net4,2.96µm
_064_,2.86µm
_021_,2.84µm
_024_,2.84µm
_039_,2.84µm
_032_,2.77µm
net29,2.76µm
net33,2.76µm
_029_,2.69µm
_042_,2.69µm
_081_,2.64µm
_008_,2.62µm
_102_,2.5µm
_092_,2.4µm
_031_,2.38µm
_022_,2.23µm
_025_,2.23µm
_044_,2.23µm
net24,2.16µm
_095_,2.15µm
_006_,1.84µm
_010_,1.84µm
_065_,1.84µm
net23,1.84µm
_101_,1.6µm
_050_,1.545µm
_088_,1.46µm
net36,1.38µm
_038_,1.36µm
_046_,1.36µm
_047_,1.36µm
net34,0.46µm
