Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000019
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000016
FILLER_9_47,VGND,li1,28.9800,38.0800,0.000014
FILLER_9_35,VGND,li1,24.3800,38.0800,0.000010
FILLER_9_3,VGND,li1,7.1300,38.0800,0.000012
FILLER_8_114,VGND,li1,59.3400,32.6400,0.000013
FILLER_8_60,VGND,li1,34.0400,32.6400,0.000010
FILLER_8_35,VGND,li1,21.8500,32.6400,0.000007
FILLER_8_29,VGND,li1,20.2400,32.6400,0.000007
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000007
FILLER_8_6,VGND,li1,8.7400,32.6400,0.000007
FILLER_7_116,VGND,li1,59.8000,32.6400,0.000013
FILLER_7_110,VGND,li1,56.5800,32.6400,0.000013
FILLER_7_90,VGND,li1,47.3800,32.6400,0.000012
FILLER_7_52,VGND,li1,29.6700,32.6400,0.000008
FILLER_7_47,VGND,li1,27.6000,32.6400,0.000007
FILLER_7_18,VGND,li1,14.0300,32.6400,0.000007
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000007
FILLER_6_82,VGND,li1,43.7000,27.2000,0.000036
FILLER_6_74,VGND,li1,39.7900,27.2000,0.000032
FILLER_6_58,VGND,li1,32.4300,27.2000,0.000026
FILLER_6_52,VGND,li1,30.8200,27.2000,0.000024
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000020
FILLER_6_23,VGND,li1,17.0200,27.2000,0.000020
FILLER_5_119,VGND,li1,60.4900,27.2000,0.000040
FILLER_5_113,VGND,li1,58.8800,27.2000,0.000040
FILLER_5_111,VGND,li1,56.8100,27.2000,0.000040
FILLER_5_99,VGND,li1,53.8200,27.2000,0.000039
FILLER_5_69,VGND,li1,37.7200,27.2000,0.000030
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000028
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000024
FILLER_5_14,VGND,li1,12.6500,27.2000,0.000021
FILLER_5_6,VGND,li1,10.1200,27.2000,0.000021
FILLER_4_112,VGND,li1,58.8800,21.7600,0.000016
FILLER_4_91,VGND,li1,47.6100,21.7600,0.000015
FILLER_4_74,VGND,li1,40.0200,21.7600,0.000013
FILLER_4_7,VGND,li1,9.6600,21.7600,0.000009
FILLER_3_110,VGND,li1,56.5800,21.7600,0.000016
FILLER_3_102,VGND,li1,54.2800,21.7600,0.000016
FILLER_3_57,VGND,li1,31.9700,21.7600,0.000010
FILLER_3_50,VGND,li1,28.7500,21.7600,0.000008
FILLER_3_36,VGND,li1,22.3100,21.7600,0.000007
FILLER_3_23,VGND,li1,16.3300,21.7600,0.000008
FILLER_2_91,VGND,li1,49.2200,16.3200,0.000013
FILLER_2_68,VGND,li1,37.4900,16.3200,0.000011
FILLER_2_36,VGND,li1,22.3100,16.3200,0.000007
FILLER_1_119,VGND,li1,60.4900,16.3200,0.000014
FILLER_1_113,VGND,li1,58.8800,16.3200,0.000014
FILLER_1_106,VGND,li1,55.6600,16.3200,0.000014
FILLER_1_94,VGND,li1,51.5200,16.3200,0.000013
FILLER_1_67,VGND,li1,37.2600,16.3200,0.000010
FILLER_1_19,VGND,li1,14.4900,16.3200,0.000008
FILLER_1_12,VGND,li1,11.2700,16.3200,0.000009
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000009
FILLER_0_119,VGND,li1,60.4900,10.8800,0.000000
FILLER_0_113,VGND,li1,58.8800,10.8800,0.000000
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000000
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000000
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000000
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000000
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_52,VGND,li1,29.6700,10.8800,0.000000
FILLER_0_48,VGND,li1,28.5200,10.8800,0.000000
FILLER_0_36,VGND,li1,24.8400,10.8800,0.000000
FILLER_0_26,VGND,li1,17.9400,10.8800,0.000000
FILLER_0_18,VGND,li1,15.6400,10.8800,0.000000
FILLER_0_6,VGND,li1,11.0400,10.8800,0.000000
hold19,VGND,li1,51.9800,32.6400,0.000013
hold18,VGND,li1,37.7200,21.7600,0.000012
hold17,VGND,li1,46.4600,38.0800,0.000019
hold16,VGND,li1,42.3200,21.7600,0.000014
hold15,VGND,li1,49.2200,54.4000,0.000004
hold14,VGND,li1,35.8800,59.8400,0.000007
hold13,VGND,li1,18.4000,21.7600,0.000008
hold12,VGND,li1,25.3000,32.6400,0.000006
hold11,VGND,li1,27.1400,27.2000,0.000022
hold10,VGND,li1,16.5600,59.8400,0.000006
hold9,VGND,li1,15.1800,43.5200,0.000006
hold8,VGND,li1,17.9400,54.4000,0.000004
hold7,VGND,li1,15.1800,32.6400,0.000007
hold6,VGND,li1,14.2600,54.4000,0.000004
hold5,VGND,li1,18.4000,38.0800,0.000011
hold4,VGND,li1,24.3800,16.3200,0.000006
hold3,VGND,li1,25.7600,65.2800,0.000000
hold2,VGND,li1,40.4800,59.8400,0.000008
hold1,VGND,li1,15.1800,21.7600,0.000008
clkload2,VGND,li1,37.7200,54.4000,0.000004
clkload1,VGND,li1,16.5600,48.9600,0.000023
clkload0,VGND,li1,46.0000,21.7600,0.000015
clkbuf_2_3__f_clk,VGND,li1,39.5600,48.9600,0.000034
clkbuf_2_2__f_clk,VGND,li1,23.4600,48.9600,0.000022
clkbuf_2_1__f_clk,VGND,li1,46.4600,27.2000,0.000039
clkbuf_2_0__f_clk,VGND,li1,23.4600,27.2000,0.000019
clkbuf_0_clk,VGND,li1,34.0400,38.0800,0.000019
fanout18,VGND,li1,21.1600,21.7600,0.000007
fanout17,VGND,li1,46.0000,16.3200,0.000013
fanout16,VGND,li1,11.9600,21.7600,0.000009
fanout15,VGND,li1,14.7200,27.2000,0.000021
fanout14,VGND,li1,30.3600,54.4000,0.000003
fanout13,VGND,li1,38.1800,43.5200,0.000007
output12,VGND,li1,59.8000,21.7600,0.000016
output11,VGND,li1,59.8000,59.8400,0.000008
input10,VGND,li1,7.5900,10.8800,0.000000
input9,VGND,li1,7.8200,21.7600,0.000009
input8,VGND,li1,8.9700,65.2800,0.000000
input7,VGND,li1,7.5900,65.2800,0.000000
input6,VGND,li1,7.5900,59.8400,0.000007
input5,VGND,li1,7.5900,54.4000,0.000004
input4,VGND,li1,7.5900,48.9600,0.000024
input3,VGND,li1,7.5900,38.0800,0.000012
input2,VGND,li1,7.5900,32.6400,0.000007
input1,VGND,li1,7.5900,27.2000,0.000021
TAP_TAPCELL_ROW_19_83,VGND,li1,57.2700,64.9880,0.000000
TAP_TAPCELL_ROW_19_82,VGND,li1,44.3900,64.9880,0.000000
TAP_TAPCELL_ROW_19_81,VGND,li1,31.5100,64.9880,0.000000
TAP_TAPCELL_ROW_19_80,VGND,li1,18.6300,64.9880,0.000000
TAP_TAPCELL_ROW_18_79,VGND,li1,44.3900,60.1310,0.000008
TAP_TAPCELL_ROW_18_78,VGND,li1,18.6300,60.1310,0.000006
TAP_TAPCELL_ROW_17_77,VGND,li1,57.2700,59.5480,0.000008
TAP_TAPCELL_ROW_17_76,VGND,li1,31.5100,59.5480,0.000006
TAP_TAPCELL_ROW_16_75,VGND,li1,44.3900,54.6910,0.000004
TAP_TAPCELL_ROW_16_74,VGND,li1,18.6300,54.6910,0.000003
TAP_TAPCELL_ROW_15_73,VGND,li1,57.2700,54.1080,0.000004
TAP_TAPCELL_ROW_15_72,VGND,li1,31.5100,54.1080,0.000004
TAP_TAPCELL_ROW_14_71,VGND,li1,44.3900,49.2510,0.000035
TAP_TAPCELL_ROW_14_70,VGND,li1,18.6300,49.2510,0.000023
TAP_TAPCELL_ROW_13_69,VGND,li1,57.2700,48.6680,0.000036
TAP_TAPCELL_ROW_13_68,VGND,li1,31.5100,48.6680,0.000025
TAP_TAPCELL_ROW_12_67,VGND,li1,44.3900,43.8110,0.000008
TAP_TAPCELL_ROW_12_66,VGND,li1,18.6300,43.8110,0.000006
TAP_TAPCELL_ROW_11_65,VGND,li1,57.2700,43.2280,0.000009
TAP_TAPCELL_ROW_11_64,VGND,li1,31.5100,43.2280,0.000006
TAP_TAPCELL_ROW_10_63,VGND,li1,44.3900,38.3710,0.000019
TAP_TAPCELL_ROW_10_62,VGND,li1,18.6300,38.3710,0.000011
TAP_TAPCELL_ROW_9_61,VGND,li1,57.2700,37.7880,0.000019
TAP_TAPCELL_ROW_9_60,VGND,li1,31.5100,37.7880,0.000016
TAP_TAPCELL_ROW_8_59,VGND,li1,44.3900,32.9310,0.000012
TAP_TAPCELL_ROW_8_58,VGND,li1,18.6300,32.9310,0.000007
TAP_TAPCELL_ROW_7_57,VGND,li1,57.2700,32.3480,0.000013
TAP_TAPCELL_ROW_7_56,VGND,li1,31.5100,32.3480,0.000009
TAP_TAPCELL_ROW_6_55,VGND,li1,44.3900,27.4910,0.000036
TAP_TAPCELL_ROW_6_54,VGND,li1,18.6300,27.4910,0.000020
TAP_TAPCELL_ROW_5_53,VGND,li1,57.2700,26.9080,0.000040
TAP_TAPCELL_ROW_5_52,VGND,li1,31.5100,26.9080,0.000026
TAP_TAPCELL_ROW_4_51,VGND,li1,44.3900,22.0510,0.000015
TAP_TAPCELL_ROW_4_50,VGND,li1,18.6300,22.0510,0.000008
TAP_TAPCELL_ROW_3_49,VGND,li1,57.2700,21.4680,0.000016
TAP_TAPCELL_ROW_3_48,VGND,li1,31.5100,21.4680,0.000010
TAP_TAPCELL_ROW_2_47,VGND,li1,44.3900,16.6110,0.000012
TAP_TAPCELL_ROW_2_46,VGND,li1,18.6300,16.6110,0.000008
TAP_TAPCELL_ROW_1_45,VGND,li1,57.2700,16.0280,0.000014
TAP_TAPCELL_ROW_1_44,VGND,li1,31.5100,16.0280,0.000009
TAP_TAPCELL_ROW_0_43,VGND,li1,57.2700,11.1710,0.000000
TAP_TAPCELL_ROW_0_42,VGND,li1,44.3900,11.1710,0.000000
TAP_TAPCELL_ROW_0_41,VGND,li1,31.5100,11.1710,0.000000
TAP_TAPCELL_ROW_0_40,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_19_Left_39,VGND,li1,6.2100,65.2800,0.000000
PHY_EDGE_ROW_18_Left_38,VGND,li1,6.2100,59.8400,0.000007
PHY_EDGE_ROW_17_Left_37,VGND,li1,6.2100,59.8400,0.000007
PHY_EDGE_ROW_16_Left_36,VGND,li1,6.2100,54.4000,0.000004
PHY_EDGE_ROW_15_Left_35,VGND,li1,6.2100,54.4000,0.000004
PHY_EDGE_ROW_14_Left_34,VGND,li1,6.2100,48.9600,0.000024
PHY_EDGE_ROW_13_Left_33,VGND,li1,6.2100,48.9600,0.000024
PHY_EDGE_ROW_12_Left_32,VGND,li1,6.2100,43.5200,0.000006
PHY_EDGE_ROW_11_Left_31,VGND,li1,6.2100,43.5200,0.000006
PHY_EDGE_ROW_10_Left_30,VGND,li1,6.2100,38.0800,0.000012
PHY_EDGE_ROW_9_Left_29,VGND,li1,6.2100,38.0800,0.000012
PHY_EDGE_ROW_8_Left_28,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_7_Left_27,VGND,li1,6.2100,32.6400,0.000007
PHY_EDGE_ROW_6_Left_26,VGND,li1,6.2100,27.2000,0.000021
PHY_EDGE_ROW_5_Left_25,VGND,li1,6.2100,27.2000,0.000021
PHY_EDGE_ROW_4_Left_24,VGND,li1,6.2100,21.7600,0.000009
PHY_EDGE_ROW_3_Left_23,VGND,li1,6.2100,21.7600,0.000009
PHY_EDGE_ROW_2_Left_22,VGND,li1,6.2100,16.3200,0.000009
PHY_EDGE_ROW_1_Left_21,VGND,li1,6.2100,16.3200,0.000009
PHY_EDGE_ROW_0_Left_20,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_19_Right_19,VGND,li1,61.4100,65.2800,0.000000
PHY_EDGE_ROW_18_Right_18,VGND,li1,61.4100,59.8400,0.000008
PHY_EDGE_ROW_17_Right_17,VGND,li1,61.4100,59.8400,0.000008
PHY_EDGE_ROW_16_Right_16,VGND,li1,61.4100,54.4000,0.000004
PHY_EDGE_ROW_15_Right_15,VGND,li1,61.4100,54.4000,0.000004
PHY_EDGE_ROW_14_Right_14,VGND,li1,61.4100,48.9600,0.000036
PHY_EDGE_ROW_13_Right_13,VGND,li1,61.4100,48.9600,0.000036
PHY_EDGE_ROW_12_Right_12,VGND,li1,61.4100,43.5200,0.000009
PHY_EDGE_ROW_11_Right_11,VGND,li1,61.4100,43.5200,0.000009
PHY_EDGE_ROW_10_Right_10,VGND,li1,61.4100,38.0800,0.000019
PHY_EDGE_ROW_9_Right_9,VGND,li1,61.4100,38.0800,0.000019
PHY_EDGE_ROW_8_Right_8,VGND,li1,61.4100,32.6400,0.000013
PHY_EDGE_ROW_7_Right_7,VGND,li1,61.4100,32.6400,0.000013
PHY_EDGE_ROW_6_Right_6,VGND,li1,61.4100,27.2000,0.000040
PHY_EDGE_ROW_5_Right_5,VGND,li1,61.4100,27.2000,0.000040
PHY_EDGE_ROW_4_Right_4,VGND,li1,61.4100,21.7600,0.000016
PHY_EDGE_ROW_3_Right_3,VGND,li1,61.4100,21.7600,0.000016
PHY_EDGE_ROW_2_Right_2,VGND,li1,61.4100,16.3200,0.000014
PHY_EDGE_ROW_1_Right_1,VGND,li1,61.4100,16.3200,0.000014
PHY_EDGE_ROW_0_Right_0,VGND,li1,61.4100,10.8800,0.000000
_250_,VGND,li1,33.5800,43.5200,0.000007
_249_,VGND,li1,25.7600,43.5200,0.000005
_248_,VGND,li1,29.4400,59.8400,0.000006
_247_,VGND,li1,12.8800,59.8400,0.000007
_246_,VGND,li1,22.0800,59.8400,0.000006
_245_,VGND,li1,11.5000,54.4000,0.000004
_244_,VGND,li1,14.2600,48.9600,0.000024
_243_,VGND,li1,11.5000,43.5200,0.000006
_242_,VGND,li1,11.9600,38.0800,0.000012
_241_,VGND,li1,11.5000,27.2000,0.000021
_240_,VGND,li1,18.8600,32.6400,0.000007
_239_,VGND,li1,55.8900,16.3200,0.000014
_238_,VGND,li1,52.4400,48.9600,0.000036
_237_,VGND,li1,43.7000,48.9600,0.000035
_236_,VGND,li1,36.8000,54.4000,0.000004
_235_,VGND,li1,42.7800,59.8400,0.000008
_234_,VGND,li1,49.4500,43.5200,0.000009
_233_,VGND,li1,36.3400,32.6400,0.000010
_232_,VGND,li1,39.5600,32.6400,0.000011
_231_,VGND,li1,50.6000,32.6400,0.000013
_230_,VGND,li1,52.4400,21.7600,0.000016
_229_,VGND,li1,56.1200,27.2000,0.000040
_228_,VGND,li1,46.4600,21.7600,0.000015
_227_,VGND,li1,42.7800,16.3200,0.000012
_226_,VGND,li1,31.2800,21.7600,0.000010
_225_,VGND,li1,30.8200,16.3200,0.000009
_224_,VGND,li1,20.7000,27.2000,0.000020
_223_,VGND,li1,19.3200,16.3200,0.000008
_222_,VGND,li1,11.5000,16.3200,0.000009
_221_,VGND,li1,11.5000,21.7600,0.000009
_220_,VGND,li1,28.2900,32.6400,0.000007
_219_,VGND,li1,48.0700,59.8400,0.000008
_218_,VGND,li1,47.1500,43.5200,0.000008
_217_,VGND,li1,30.5900,32.6400,0.000008
_216_,VGND,li1,45.3100,32.6400,0.000012
_215_,VGND,li1,52.6700,38.0800,0.000019
_214_,VGND,li1,58.1900,32.6400,0.000013
_213_,VGND,li1,57.2700,32.6400,0.000013
_212_,VGND,li1,51.7500,21.7600,0.000016
_211_,VGND,li1,48.0700,16.3200,0.000013
_210_,VGND,li1,35.6500,16.3200,0.000010
_209_,VGND,li1,34.2700,16.3200,0.000009
_208_,VGND,li1,29.6700,27.2000,0.000024
_207_,VGND,li1,25.9900,16.3200,0.000006
_206_,VGND,li1,12.1900,16.3200,0.000009
_205_,VGND,li1,8.9700,16.3200,0.000009
_204_,VGND,li1,35.4200,43.5200,0.000007
_203_,VGND,li1,22.3100,43.5200,0.000005
_202_,VGND,li1,18.8600,43.5200,0.000005
_201_,VGND,li1,20.4700,38.0800,0.000011
_200_,VGND,li1,15.4100,38.0800,0.000011
_199_,VGND,li1,21.3900,48.9600,0.000022
_198_,VGND,li1,20.7000,54.4000,0.000003
_197_,VGND,li1,24.1500,54.4000,0.000003
_196_,VGND,li1,21.3900,54.4000,0.000003
_195_,VGND,li1,33.8100,27.2000,0.000028
_194_,VGND,li1,36.3400,27.2000,0.000030
_193_,VGND,li1,38.6400,27.2000,0.000032
_192_,VGND,li1,40.0200,38.0800,0.000019
_191_,VGND,li1,43.0100,38.0800,0.000019
_190_,VGND,li1,45.0800,32.6400,0.000012
_189_,VGND,li1,42.0900,32.6400,0.000012
_188_,VGND,li1,49.6800,27.2000,0.000039
_187_,VGND,li1,48.9900,32.6400,0.000012
_186_,VGND,li1,55.8900,32.6400,0.000013
_185_,VGND,li1,50.8300,38.0800,0.000019
_184_,VGND,li1,54.9700,32.6400,0.000013
_183_,VGND,li1,42.3200,27.2000,0.000034
_182_,VGND,li1,34.0400,21.7600,0.000011
_181_,VGND,li1,40.7100,21.7600,0.000013
_180_,VGND,li1,41.6300,16.3200,0.000012
_179_,VGND,li1,43.4700,16.3200,0.000012
_178_,VGND,li1,39.3300,16.3200,0.000011
_177_,VGND,li1,32.6600,16.3200,0.000009
_176_,VGND,li1,30.1300,21.7600,0.000010
_175_,VGND,li1,27.8300,16.3200,0.000008
_174_,VGND,li1,30.1300,16.3200,0.000009
_173_,VGND,li1,30.5900,10.8800,0.000000
_172_,VGND,li1,20.4700,16.3200,0.000008
_171_,VGND,li1,24.8400,21.7600,0.000007
_170_,VGND,li1,24.1500,21.7600,0.000007
_169_,VGND,li1,20.4700,10.8800,0.000000
_168_,VGND,li1,13.5700,16.3200,0.000008
_167_,VGND,li1,17.7100,21.7600,0.000008
_166_,VGND,li1,28.7500,27.2000,0.000022
_165_,VGND,li1,27.1400,21.7600,0.000008
_164_,VGND,li1,40.0200,27.2000,0.000032
_163_,VGND,li1,37.7200,21.7600,0.000012
_162_,VGND,li1,46.2300,27.2000,0.000039
_161_,VGND,li1,24.6100,16.3200,0.000006
_160_,VGND,li1,17.2500,16.3200,0.000008
_159_,VGND,li1,40.7100,43.5200,0.000008
_158_,VGND,li1,37.9500,65.2800,0.000000
_157_,VGND,li1,36.3400,59.8400,0.000007
_156_,VGND,li1,37.4900,48.9600,0.000032
_155_,VGND,li1,39.3300,54.4000,0.000004
_154_,VGND,li1,46.6900,48.9600,0.000035
_153_,VGND,li1,50.3700,48.9600,0.000035
_152_,VGND,li1,20.9300,21.7600,0.000007
_151_,VGND,li1,10.3500,32.6400,0.000007
_150_,VGND,li1,11.2700,32.6400,0.000007
_149_,VGND,li1,10.3500,43.5200,0.000006
_148_,VGND,li1,13.1100,48.9600,0.000024
_147_,VGND,li1,10.3500,54.4000,0.000004
_146_,VGND,li1,21.3900,59.8400,0.000006
_145_,VGND,li1,12.6500,59.8400,0.000007
_144_,VGND,li1,40.2500,43.5200,0.000008
_143_,VGND,li1,29.6700,54.4000,0.000003
_142_,VGND,li1,25.3000,48.9600,0.000020
_141_,VGND,li1,28.5200,48.9600,0.000023
_140_,VGND,li1,25.9900,43.5200,0.000005
_139_,VGND,li1,30.8200,48.9600,0.000025
_138_,VGND,li1,33.3500,48.9600,0.000027
_137_,VGND,li1,33.1200,48.9600,0.000027
_136_,VGND,li1,32.8900,54.4000,0.000004
_135_,VGND,li1,30.5900,48.9600,0.000025
_134_,VGND,li1,33.3500,59.8400,0.000007
_133_,VGND,li1,35.6500,54.4000,0.000004
