net,length_um
_075_,118.8µm
net18,99.46µm
net16,96.46µm
net17,92.78µm
net15,81.38µm
clknet_2_2__leaf_clk,76.115µm
net9,71.935µm
clknet_2_0__leaf_clk,71.36µm
baud_inst.baud_tick,64.1µm
net14,61.13µm
clk,60.81µm
net13,58.34µm
clknet_2_1__leaf_clk,57.36µm
_093_,50.5µm
uart_tx_inst.state\[1\],49.6µm
clknet_0_clk,47.94µm
clknet_2_3__leaf_clk,46.94µm
_083_,45.98µm
_109_,43.8µm
baud_inst.cnt\[8\],39.7µm
baud_inst.cnt\[9\],37.08µm
uart_tx_inst.state\[0\],35.335µm
uart_tx_inst.cnt\[2\],27.84µm
baud_inst.cnt\[10\],27.04µm
net33,26.04µm
_086_,22.82µm
net11,22.68µm
net10,21.96µm
baud_inst.cnt\[4\],20.88µm
baud_inst.cnt\[3\],20.8µm
net7,20.66µm
baud_inst.cnt\[7\],19.92µm
_078_,19.7µm
_082_,18.66µm
_089_,18.66µm
uart_tx_inst.data_reg\[0\],18.32µm
uart_tx_inst.cnt\[1\],18.14µm
_062_,16.98µm
_104_,16.84µm
baud_inst.cnt\[6\],15.54µm
baud_inst.cnt\[5\],15.24µm
net1,14.92µm
_098_,14.68µm
net19,14.26µm
uart_tx_inst.cnt\[0\],13.92µm
data_in[7],13.47µm
uart_tx_inst.data_reg\[1\],13.32µm
_013_,13.22µm
_108_,13.08µm
_091_,13.06µm
baud_inst.cnt\[12\],12.495µm
_084_,12.42µm
baud_inst.cnt\[11\],12.08µm
_077_,12.04µm
_067_,11.88µm
_094_,11.42µm
_011_,11.36µm
_073_,10.96µm
_079_,10.82µm
uart_tx_inst.data_reg\[6\],10.82µm
_028_,10.51µm
_072_,10.48µm
net30,10.46µm
_050_,10.36µm
uart_tx_inst.data_reg\[7\],10.04µm
_024_,10µm
baud_inst.cnt\[0\],9.92µm
_103_,9.88µm
_071_,9.74µm
_015_,9.3µm
_004_,9.185µm
baud_inst.cnt\[2\],9.04µm
_097_,8.94µm
en,8.81µm
net6,8.76µm
_066_,8.74µm
net20,8.66µm
_034_,8.37µm
_070_,7.98µm
net3,7.98µm
uart_tx_inst.data_reg\[4\],7.86µm
_087_,7.78µm
net23,7.78µm
uart_tx_inst.state\[3\],7.74µm
net32,7.64µm
net22,7.52µm
_042_,7.48µm
net5,7.44µm
_019_,7.21µm
_096_,7.2µm
_016_,7.18µm
_017_,7.16µm
_080_,7.1µm
uart_tx_inst.data_reg\[5\],7.1µm
uart_tx_inst.data_reg\[2\],7.08µm
_068_,7.04µm
_076_,6.98µm
baud_inst.cnt\[1\],6.86µm
_048_,6.77µm
_009_,6.76µm
_061_,6.64µm
_005_,6.6µm
_095_,6.52µm
_035_,6.37µm
_041_,6.31µm
data_in[3],6.31µm
_000_,6.3µm
_069_,6.06µm
uart_tx_inst.data_reg\[3\],6.06µm
net4,6.04µm
data_in[1],5.97µm
data_in[5],5.97µm
_022_,5.91µm
_040_,5.91µm
_092_,5.86µm
_059_,5.68µm
_043_,5.6µm
_027_,5.56µm
_058_,5.46µm
_064_,5.38µm
busy,5.29µm
data_in[6],5.29µm
_014_,5.26µm
net8,5.26µm
net37,5.06µm
net21,5.02µm
_031_,4.99µm
data_in[0],4.95µm
data_in[4],4.95µm
uart_tx_inst.state\[2\],4.88µm
net34,4.88µm
_025_,4.87µm
data_in[2],4.61µm
rst,4.61µm
_001_,4.54µm
_010_,4.46µm
net26,4.46µm
_045_,4.42µm
tx,4.39µm
_081_,4.34µm
_106_,4.22µm
_099_,4.14µm
_063_,4.12µm
net25,3.78µm
_060_,3.76µm
_021_,3.61µm
_101_,3.54µm
net31,3.54µm
_007_,3.385µm
net2,3.32µm
_002_,3.3µm
_047_,3.3µm
_039_,2.96µm
_105_,2.96µm
net27,2.76µm
_032_,2.74µm
_026_,2.69µm
_030_,2.69µm
_107_,2.62µm
_056_,2.5µm
net36,2.5µm
_029_,2.38µm
_037_,2.38µm
_051_,2.38µm
_074_,2.3µm
_006_,2.28µm
_012_,2.28µm
_053_,2.28µm
_057_,2.28µm
net12,2.27µm
_033_,2.23µm
_036_,2.23µm
_044_,2.23µm
_038_,2.21µm
_003_,2.18µm
_049_,2.18µm
_008_,2.16µm
_052_,2.16µm
net29,2.16µm
_023_,2.09µm
_054_,2.04µm
net24,1.84µm
net28,1.84µm
_046_,1.82µm
_020_,1.7µm
_085_,1.48µm
_088_,1.46µm
_100_,1.46µm
_065_,1.38µm
_090_,1.38µm
_018_,1.36µm
_055_,1.36µm
_102_,1.14µm
net35,0.46µm
